NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
admiralty-ncmir-mm-expanse-7d43bc97a0      Ready                         cluster,master         89d                 10.244.40.221     <none>        <unknown>               <unknown>                       <unknown>                       
alveo.sdsu.edu                             Ready                         <none>                 224d     v1.23.14   130.191.49.92     <none>        Ubuntu 20.04.4 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
ceph-1.gpn.onenet.net                      Ready                         <none>                 637d     v1.23.14   164.58.250.10     <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
ceph00.nrp.hpc.udel.edu                    Ready                         <none>                 241d     v1.23.14   128.175.132.19    <none>        Ubuntu 18.04.5 LTS      4.15.0-191-generic              containerd://1.5.5              us-east
clu-fiona2.ucmerced.edu                    Ready                         <none>                 2y125d   v1.23.14   169.236.28.35     <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://19.3.13                us-west
controller0.calit2.optiputer.net           Ready                         control-plane,master   5y3d     v1.23.14   67.58.53.147      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               docker://20.10.12               us-west
csusb-sci-103-11.csusb.edu                 Ready,SchedulingDisabled      <none>                 300d     v1.23.14   139.182.103.11    <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
dtn-01.nrp.mghpcc.org                      Ready                         <none>                 100d     v1.23.14   192.69.103.139    <none>        Ubuntu 20.04.4 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
dtn-gpu2.kreonet.net                       Ready                         <none>                 2y19d    v1.23.14   134.75.115.138    <none>        Ubuntu 20.04.4 LTS      5.4.0-137-generic               containerd://1.5.9              pacific
dtn-main.ucr.edu                           Ready                         <none>                 3y296d   v1.23.14   138.23.104.66     <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              us-west
dtn-pas.bois.net.internet2.edu             Ready                         <none>                 38d      v1.23.14   163.253.29.13     <none>        Ubuntu 20.04.5 LTS      5.4.0-136-generic               containerd://1.5.9              us-mountain
dtn-pas.cinc.net.internet2.edu             Ready                         <none>                 42d      v1.23.14   163.253.29.17     <none>        Ubuntu 20.04.4 LTS      5.4.0-136-generic               containerd://1.5.9              us-east
dtn101.sl.startap.net                      Ready                         <none>                 707d     v1.23.14   74.114.96.101     <none>        Ubuntu 20.04.5 LTS      5.4.0-125-generic               containerd://1.5.9              us-east
dtn108.sl.startap.net                      Ready                         <none>                 380d     v1.23.14   74.114.96.108     <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-east
dtn2-daejeon.kreonet.net                   Ready                         <none>                 2y212d   v1.23.14   134.75.115.132    <none>        Ubuntu 20.04.5 LTS      5.15.0-58-generic               containerd://1.5.9              pacific
edex.calit2.optiputer.net                  Ready                         <none>                 3y235d   v1.23.14   67.58.53.151      <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://20.10.9                us-west
epic001.clemson.edu                        Ready                         <none>                 690d     v1.23.14   130.127.217.20    <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-east
evldtn.evl.uic.edu                         Ready                         <none>                 3y260d   v1.23.14   131.193.183.208   <none>        Ubuntu 20.04.5 LTS      5.4.0-135-generic               containerd://1.5.9              us-east
fiona-1.famu.edu                           Ready                         <none>                 120d     v1.23.14   168.223.56.21     <none>        Ubuntu 20.04.4 LTS      5.4.0-139-generic               containerd://1.5.9              us-east
fiona-100g.ucsc.edu                        Ready                         <none>                 2y159d   v1.23.14   128.114.109.72    <none>        Ubuntu 20.04.5 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
fiona-dtn-1.calit2.uci.edu                 Ready                         <none>                 617d     v1.23.14   192.5.19.136      <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://19.3.13                us-west
fiona-dtn-1.ucsc.edu                       Ready                         <none>                 394d     v1.23.14   128.114.109.70    <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              us-west
fiona-dtn.usc.edu                          Ready                         <none>                 2y145d   v1.23.14   68.181.11.162     <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://20.10.9                us-west
fiona-r-uva.vlan7.uvalight.net             Ready                         <none>                 4y166d   v1.23.14   145.100.133.50    <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              eu
fiona.cac.washington.edu                   Ready                         <none>                 2y301d   v1.23.14   198.48.92.50      <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              us-west
fiona.its.hawaii.edu                       Ready                         <none>                 3y4d     v1.23.14   128.171.123.10    <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              pacific
fiona.nwsc.ucar.edu                        Ready                         <none>                 5y3d     v1.23.14   128.117.212.248   <none>        Ubuntu 20.04.3 LTS      5.15.0-58-generic               containerd://1.5.9              us-mountain
fiona.offn.oscer.ou.edu                    Ready                         <none>                 318d     v1.23.14   156.110.41.5      <none>        Ubuntu 20.04.4 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
fiona.sdsu.edu                             Ready                         <none>                 4y318d   v1.23.14   130.191.49.222    <none>        Ubuntu 20.04.2 LTS      5.4.0-125-generic               containerd://1.5.9              us-west
fiona.tools.ucla.net                       Ready                         <none>                 4y282d   v1.23.14   192.154.2.254     <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
fiona.ucsc.edu                             Ready                         <none>                 4y31d    v1.23.14   128.114.109.67    <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://19.3.13                us-west
fiona8-0.calit2.uci.edu                    Ready                         <none>                 379d     v1.23.14   192.5.19.133      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
